Client,Age,YI,CR,CS
1,59,744,45,Low
2,31,445,81,Low
3,18,295,69,Low
4,51,196,87,Low
5,36,476,63,Low
6,19,483,76,Low
7,28,660,77,Low
8,29,646,45,Low
9,42,472,87,Low
10,29,878,86,Low
11,56,841,88,High
12,51,702,54,High
13,24,543,79,High
14,55,634,64,Low
15,23,498,65,High
16,18,116,82,Low
17,43,311,75,Low
18,40,802,73,High
19,56,133,64,High
20,45,195,62,High
21,59,492,47,High
22,26,828,68,High
23,41,411,48,Low
24,60,787,46,Low
25,48,783,82,Low
26,27,645,46,High
27,19,812,87,Low
28,24,478,70,High
29,18,133,66,Low
30,26,624,87,Low
31,53,273,70,Low
32,48,291,89,Low
33,54,299,45,Low
34,35,649,66,High
35,56,437,52,Low
36,38,388,80,High
37,37,129,88,High
38,44,311,66,Low
39,32,266,66,High
40,43,593,86,Low
41,34,473,46,Low
42,54,193,78,High
43,25,443,76,High
44,28,758,86,High
45,54,147,69,Low
46,42,202,53,Low
47,18,523,86,Low
48,40,782,72,Low
49,26,286,45,High
50,37,148,59,Low
51,51,338,57,High
52,28,549,81,Low
53,38,238,47,Low
54,44,569,52,High
55,32,566,48,High
56,23,677,67,High
57,22,670,71,High
58,49,732,68,Low
59,60,708,65,Low
60,57,684,85,Low
61,58,650,66,High
62,26,373,90,High
63,57,635,58,High
64,52,654,64,Low
65,34,415,53,Low
66,53,307,90,High
67,41,422,76,High
68,50,257,89,High
69,56,309,51,High
70,45,349,72,High
71,58,757,64,Low
72,23,880,88,High
73,41,532,59,High
74,31,783,77,Low
75,57,804,81,Low
76,30,458,86,Low
77,39,801,87,Low
78,37,187,52,Low
79,57,863,81,High
80,51,179,82,High
81,30,806,54,High
82,51,670,80,High
83,37,154,69,Low
84,21,472,80,Low
85,59,473,71,Low
86,44,574,60,High
87,32,615,68,Low
88,40,522,89,Low
89,59,460,54,Low
90,45,238,78,High
91,34,603,89,High
92,28,303,76,Low
93,52,297,48,Low
94,53,230,72,Low
95,38,222,90,Low
96,47,133,60,High
97,20,665,49,High
98,20,240,67,Low
99,34,660,89,High
100,27,784,69,High
